"response_id","experience"
"GEN24_1002470","None of these"
"GEN24_1002475","None of these"
"GEN24_1002478","None of these"
"GEN24_1002481","None of these"
"GEN24_1002488","None of these"
"GEN24_1002491","None of these"
"GEN24_1002496","None of these"
"GEN24_1002498","None of these"
"GEN24_1002505","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002507","None of these"
"GEN24_1002508","None of these"
"GEN24_1002509","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002510","None of these"
"GEN24_1002513","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002513","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002514","None of these"
"GEN24_1002519","None of these"
"GEN24_1002524","None of these"
"GEN24_1002525","None of these"
"GEN24_1002530","None of these"
"GEN24_1002536","None of these"
"GEN24_1002538","None of these"
"GEN24_1002544","None of these"
"GEN24_1002546","None of these"
"GEN24_1002549","Some other Maori cultural activity"
"GEN24_1002550","None of these"
"GEN24_1002553","None of these"
"GEN24_1002554","Eat Maori traditional food"
"GEN24_1002554","Some other Maori cultural activity"
"GEN24_1002554","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002556","None of these"
"GEN24_1002559","None of these"
"GEN24_1002561","None of these"
"GEN24_1002566","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002566","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002580","Some other Maori cultural activity"
"GEN24_1002582","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002583","None of these"
"GEN24_1002584","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002585","None of these"
"GEN24_1002588","None of these"
"GEN24_1002592","None of these"
"GEN24_1002593","None of these"
"GEN24_1002594","None of these"
"GEN24_1002597","None of these"
"GEN24_1002607","None of these"
"GEN24_1002620","None of these"
"GEN24_1002627","None of these"
"GEN24_1002629","None of these"
"GEN24_1002635","None of these"
"GEN24_1002640","None of these"
"GEN24_1002642","None of these"
"GEN24_1002666","Some other Maori cultural activity"
"GEN24_1002667","None of these"
"GEN24_1002668","None of these"
"GEN24_1002670","Visit a Maori family in their home"
"GEN24_1002671","None of these"
"GEN24_1002672","None of these"
"GEN24_1002673","None of these"
"GEN24_1002674","Some other Maori cultural activity"
"GEN24_1002677","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002681","None of these"
"GEN24_1002687","None of these"
"GEN24_1002688","None of these"
"GEN24_1002694","See Maori art or crafts being created"
"GEN24_1002694","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002694","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002707","None of these"
"GEN24_1002717","None of these"
"GEN24_1002725","Eat Maori traditional food"
"GEN24_1002725","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002725","Some other Maori cultural activity"
"GEN24_1002725","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002725","Watch a live Maori performance"
"GEN24_1002727","None of these"
"GEN24_1002731","None of these"
"GEN24_1002732","None of these"
"GEN24_1002733","None of these"
"GEN24_1002741","None of these"
"GEN24_1002753","None of these"
"GEN24_1002758","None of these"
"GEN24_1002760","None of these"
"GEN24_1002762","None of these"
"GEN24_1002763","None of these"
"GEN24_1002770","None of these"
"GEN24_1002771","None of these"
"GEN24_1002774","None of these"
"GEN24_1002778","Visit a Maori family in their home"
"GEN24_1002782","None of these"
"GEN24_1002786","None of these"
"GEN24_1002794","None of these"
"GEN24_1002797","None of these"
"GEN24_1002799","None of these"
"GEN24_1002801","None of these"
"GEN24_1002803","None of these"
"GEN24_1002804","None of these"
"GEN24_1002807","None of these"
"GEN24_1002808","None of these"
"GEN24_1002812","None of these"
"GEN24_1002813","None of these"
"GEN24_1002816","None of these"
"GEN24_1002817","Visit a Maori family in their home"
"GEN24_1002819","None of these"
"GEN24_1002820","None of these"
"GEN24_1002824","See Maori artefacts, art or crafts in an exhibition"
"GEN24_1002826","None of these"
"GEN24_1002836","Visit a Maori marae (a Maori meeting place)"
"GEN24_1002839","None of these"
"GEN24_1002840","None of these"
"GEN24_1002848","Visit a Maori marae (a Maori meeting place)"
