response_id,satisfaction_reason
GEN24_1096611,Cleanliness
GEN24_1096636,Nz animals and birds
GEN24_1096650,"Being 6,000 miles away from Trump"
GEN24_1096655,Birds
GEN24_1096731,Seeing famous sites
GEN24_1096752,Riding my bike every day with fabulous scenery
GEN24_1096778,ROAD SIGNS WHILE DRIVING AND EASY AVAILABILITY OF PUBLIC REST ROOMS (TOILETS) AT ALL PICK UP POINTS AND TOURIST PLACES.
GEN24_1096835,The Auckland beaches
GEN24_1096853,Filming locations of Movies
GEN24_1096900,All blacks experience
GEN24_1096975,"Activities - ziplining Okere Falls, kayaking Hahei, Glamping/dark sky experience Dome Valley, Waitomo glow worm tubing, zoo, gardens"
GEN24_1097047,"toilets, many and very clean. Many selections of food, at food courts."
GEN24_1097077,??
GEN24_1097163,Lord of the rings references
GEN24_1097178,Cycle trails
GEN24_1097245,The beautiful blue oceans
GEN24_1097265,Quality of the roads
GEN24_1097297,The clean bathrooms
GEN24_1097300,Hobbiton
GEN24_1097451,Wildlife
GEN24_1097617,Toilets everywhere
GEN24_1097638,Motorcycle racing events
GEN24_1097706,Hunting
GEN24_1097826,the beaches
GEN24_1097992,Took a sailboat excursion so getting on the water was our favorite part of the trip.
GEN24_1097997,Film making info including hobbiton and weta workshop
GEN24_1098095,Local transport and sports faciilities
GEN24_1098168,Outdoor activities
GEN24_1098252,Birds
GEN24_1098261,The wildlife
GEN24_1098443,Family memorial service of my uncles and cousin
GEN24_1098592,Cycling trails - i cycled the Tour Aoteraro so i  have not indicated all the places i went on your map as it would take forever
GEN24_1098680,Fly Fishing. Kayaking. Swimming.
GEN24_1098788,????
GEN24_1098976,Family
GEN24_1098980,Cycling trailks
GEN24_1099008,I felt safe here as a solo travelling. I also liked the non-tipping culture which I had read before arriving into New Zealand. It made all interactions more personal.
GEN24_1099068,Lord of the Rings Tour
GEN24_1099105,Wellington isloding money because of the councils and cycle lanes. To many car parks around the whole city tsken away for cycle lanes Wates of money.
GEN24_1099427,le réseau des pistes cyclables
GEN24_1099621,Wind and watersports
GEN24_1099629,the cycling trails
GEN24_1099819,"specific or unique activities (dolphin swimming, 7m waterfall rafting, paragliding)"
GEN24_1100025,????
GEN24_1100043,Surfing at Green Wave Raglan
GEN24_1100058,The absence of misquitoes and snakes.
GEN24_1100382,Half day tour to Piha Beach and Rainforest
GEN24_1100384,"From 2013, have been to NZ many times from Aust, just like the fact that NZ is easy to get around, have been to Christchurch, and Wellington, in both winter and summer. Aust and NZ has the same plug type, and there are a lot of similarities. Also very short flight, dont have to spend too long on flights. Money is also easy to understand, Aust and NZ have the same dollars and cents. Not like Indonesia or Vietnam, or Japan with currency in the thousands or hundred of thousands."
GEN24_1100451,The Lord of The Rings movie experience
GEN24_1100548,la côté paisible/zen de la vie
GEN24_1100579,The southern summer (the sunshine while it’s cold and gray at home)
GEN24_1100626,"Hobbiton, WEKA workshop"
GEN24_1100738,Lord of the rings tours and location sites
GEN24_1100903,Rotorua Canopy Tours & The Luge
GEN24_1100935,"die zuverlässige und gute Organisation, die Feststellung ggf. Hilfe zu bekommen"
GEN24_1101085,adventure activities in Queenstown
GEN24_1101168,????
GEN24_1101403,"The joke of aso called.... ""public service"""
GEN24_1101470,Carolyne Bay carnival
GEN24_1101488,"Mercy Hospital, Dunedin.  And Black Lab Coffee Roasters"
GEN24_1101514,Sailing
GEN24_1101615,"Surfing, ocean, coastline"
GEN24_1101757,"Skydive, mildford sound crusie"
GEN24_1102372,Fishing and hunting
GEN24_1102467,Relaxing
GEN24_1102610,??
GEN24_1102759,"Seeing the sets of my favorite movies, the lord of the rings. But those experiences include many other things on this list such as landscapes and customer service."
GEN24_1102788,Horse Riding
GEN24_1102929,"I really like the awareness at parks, beaches, well everywhere about caring about nature. It builds proper values!"
GEN24_1102979,??????????   ???????
GEN24_1103039,Weather
GEN24_1103092,Fishing
GEN24_1103093,Well paved roads
GEN24_1103447,The safety and serenity of day to day life.
GEN24_1103492,Sea plane flight over the lakes in Rotorua
GEN24_1103519,????????·????????
GEN24_1103564,"Zealandia, Muritai Park and Butterfly Creek, Visit to a Lighthouse"
GEN24_1103604,????
GEN24_1103653,Animals
GEN24_1103693,It was a business trip
GEN24_1103716,Child
GEN24_1103974,tolerant and well set up camping principles
GEN24_1104225,Safety and security
GEN24_1104452,????????????Wine??????
GEN24_1104494,Lord of the Rings
GEN24_1104512,skydive
GEN24_1104665,le nombre de toilettes publiques et leur propreté ; le nombre de points de vue ; les commodités pour les camping-car
GEN24_1104806,"Hobbiton, Hamilton classic cars, Hamilton gardens, peaceful and quiet nights"
GEN24_1105032,Every thing was Amazing
GEN24_1105201,Friendly nature of people
GEN24_1105344,Apple cider ...
GEN24_1105521,Hunting
GEN24_1105564,The weather is so nice.
GEN24_1105805,The light
GEN24_1105826,Hobbiton experience
GEN24_1106052,conference - professional learning
GEN24_1106096,Mother nature
GEN24_1106681,Rubbish free environment. Great Freedom Camping and Free Camping
GEN24_1106920,The facilities at Christchurch Hospital for medical elective.
GEN24_1106946,Everything seems well-organized and orderly with US
GEN24_1107100,Our Flag Means Death filming locations
GEN24_1107174,Hobbiton
GEN24_1107206,Public toilets in between stops
GEN24_1107230,Hobbiton filming set
GEN24_1107586,Living style and more relax time
GEN24_1107632,"Whale watching, bird watching, other marine life watching ( e.g: seal colony Kaikoura)"
GEN24_1107875,Nature
GEN24_1108008,"Shopping, it was cheaper than my hone country"
GEN24_1108020,"Fresh food and ingredients, child friendly amenities, cold weather"
GEN24_1108321,The hunting
GEN24_1108374,Coffee culture
GEN24_1108674,"Adrenaline filled activities such as skydiving, canyon swing, luge, ziplining etc.,"
GEN24_1108753,Hot pools
GEN24_1108875,Emerson Brewery in Dunedin was very nice; Hobbiton was a necessary pilgrimage; the tour-bus driver Rachael was very informative.
GEN24_1108895,??
GEN24_1109103,Visiting several historical astronomical observatories in Christchurch and Wellington
GEN24_1109169,Going to Church
GEN24_1109237,That its not too busy
GEN24_1109327,Working environment
GEN24_1109483,take the helicopter and then land on the Mt Cook
GEN24_1109505,The ocean
GEN24_1109719,All Blacks rugby game
GEN24_1109867,Shopping malls:  Sylvia Lane and New Market
GEN24_1110216,The Northern Explorer Train
GEN24_1110328,Wwoofing
GEN24_1110609,shopping at the malls
GEN24_1110864,"Jet Boat, Paragliding and Canyon Swing"
GEN24_1110875,Hobbiton
GEN24_1110906,?????
GEN24_1111303,Farmers Markets
GEN24_1111338,The local gym
GEN24_1111369,your playgrounds
GEN24_1111575,LesMills
GEN24_1111752,Hunting
GEN24_1112231,N/A I was there to care for a sick family member
GEN24_1112376,Fresh fruit in season.
GEN24_1112464,Luge and gondola ride at Skyline Rotorua
GEN24_1112519,Movie experiences
GEN24_1112789,the cool weather
GEN24_1112838,Slow pace of Auckland
GEN24_1112878,Skydiving in Queenstown
GEN24_1112887,Seeing friends
GEN24_1112940,???????
GEN24_1112944,"I enjoyed being able to see so many wild animals up close, and it was also nice to escape the hot Korean summer and spend a cool winter in New Zealand."
GEN24_1112953,The cool weather in their Winter
GEN24_1113116,Visit to the Royal Albatross Centre
GEN24_1113360,2 night cruise
GEN24_1113446,Family oriented everywhere
GEN24_1113576,mountain with snow cap
GEN24_1113854,??
GEN24_1114019,Helicopter sightseeing
GEN24_1114271,Geothermal pools and spas
GEN24_25451,Seals and Whales
GEN24_26665,NZ international film festival
GEN24_26906,National parks
GEN24_27087,Hobbiton and the glow worm caves
GEN24_27136,Hobbiton
GEN24_27480,Luge race
GEN24_27611,Heli ride in Franz Josef
GEN24_27632,Surfing
GEN24_27800,Hobbiton
GEN24_27827,The Court Theatre
GEN24_28036,"Activities, skydiving"
GEN24_28421,Beach
GEN24_28754,Roads are beautiful for cycling.
GEN24_28850,Hunting and fishing
GEN24_28945,"Calmness, Quietness"
GEN24_29038,Adventure activities and Lord of the Rings locations
GEN24_29040,Extreme sports
GEN24_29235,"The climate, clean air"
GEN24_29497,Plants!
GEN24_29581,"Besides visiting my sister I liked the ""free"" art of the buildings in the city center"
GEN24_29819,public toilets are very often and clean
GEN24_29892,Horse riding
GEN24_30011,Rafting
GEN24_30156,Golfing
GEN24_30246,Forrest’s and wildlife
GEN24_30505,Bungee
GEN24_30661,"The speed limits ar very good, and allows the drivers to use common sense regarding speed and road conditions"
GEN24_30803,Mostly ood drivers. They followed the speed limits and know how to zipper properly.
GEN24_30837,The overall cleanliness of public toilets
GEN24_31344,Low cost
GEN24_31670,"Skydiving, quad biking, glacier walk etc"
GEN24_31730,Lord of the Ring sites
GEN24_31814,Excellent exeloos
GEN24_31903,Hunting
GEN24_32124,Gardens
